Name,Street Address,City,State,Zip,Phone Number,Tax ID/SSN,Email,Date Of Birth,name_address,cluster
Gregory Chavez,3045 Elizabeth Extensions,Port Nicole,Arkansas,35195,(206)524-0448,698-75-9500,justin69@example.org,1949-02-26,Gregory Chavez 3045 Elizabeth Extensions,
James Parrish,2589 Benjamin Flat,South Spencerton,South Carolina,6368,562.848.4156,351-08-2438,matthewharris@example.org,1995-12-06,James Parrish 2589 Benjamin Flat,
Andrew Martinez,17195 Paul Passage,Beardburgh,Washington,66573,955-298-1731,690-44-7824,sabrinajuarez@example.org,1978-02-17,Andrew Martinez 17195 Paul Passage,
Phillip Ponce,04321 Ryan Crossing,Lopezland,Missouri,60024,+1-845-770-9828x393,845-17-7962,yjones@example.net,1983-12-18,Phillip Ponce 04321 Ryan Crossing,
Whitney Keith,22207 Gates Square,East Elizabeth,Iowa,62562,001-448-514-7046x95104,005-60-6010,fgutierrez@example.net,1975-07-14,Whitney Keith 22207 Gates Square,
Lee White,07214 Robinson Trail,West Tina,Virginia,25631,(435)241-8097,640-42-8524,mooreerin@example.org,1972-05-02,Lee White 07214 Robinson Trail,
Steven Mcknight,650 Kirby Orchard,Johnchester,Georgia,56525,(695)207-6477,039-78-6994,vmartin@example.org,1983-03-07,Steven Mcknight 650 Kirby Orchard,
Wesley Simon,4680 Anderson Fields,East Samantha,Mississippi,93527,959-495-9815,038-97-6695,larsontracy@example.org,1989-11-18,Wesley Simon 4680 Anderson Fields,
Mr. Michael Smith,56188 Costa Village,Lake Richardborough,Maryland,20170,755.705.5270x013,876-90-0846,vwilliams@example.net,1993-10-24,Mr. Michael Smith 56188 Costa Village,
Samantha Patel,763 Young Inlet,Scottburgh,Tennessee,28830,802-893-0945x21285,310-49-1249,ojohnson@example.org,2003-02-12,Samantha Patel 763 Young Inlet,
April Clark,7028 Stephen Viaduct,North Tonyaside,West Virginia,28686,001-761-247-9530x1774,026-76-9785,nathanielvillanueva@example.org,1958-07-27,April Clark 7028 Stephen Viaduct,
